Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.6	0.07	  166.807130	    6.411810	  6.00	  166.807020	    6.411680	  6.00
 0.0	0.00	  235.322070	   10.422056	  6.00	  235.322070	   10.422056	  6.00
 0.0	0.00	  242.598420	   10.210955	  6.00	  242.598420	   10.210955	  6.00
 0.0	0.00	  120.485870	    8.125941	  6.00	  120.485870	    8.125941	  6.00
 0.0	0.01	  148.047260	    8.736313	  6.00	  148.047250	    8.736320	  6.00
 0.0	0.00	  121.448010	    8.319342	  6.00	  121.448010	    8.319342	  6.00
 0.0	0.00	  151.036350	    6.510481	  6.00	  151.036340	    6.510480	  6.00
 0.1	0.02	  146.245530	    8.369894	  6.00	  146.245500	    8.369870	  6.00
 0.0	0.00	  146.950660	   10.870046	  6.00	  146.950670	   10.870050	  6.00
 0.1	0.02	  149.318850	    4.527005	  6.00	  149.318830	    4.526970	  6.00
 0.0	0.00	  238.186120	    8.364543	  6.00	  238.186120	    8.364540	  6.00
 0.0	0.00	  167.623410	   13.766147	  6.00	  167.623410	   13.766150	  6.00
 0.0	0.00	  162.507470	   13.784773	  6.00	  162.507470	   13.784770	  6.00
 0.0	0.00	  172.681210	    6.883486	  6.00	  172.681210	    6.883490	  6.00
 0.0	0.00	  235.167210	   15.389071	  6.00	  235.167210	   15.389071	  6.00
 0.0	0.00	  209.981370	    7.747268	  6.00	  209.981370	    7.747268	  6.00
 0.0	0.00	  147.163790	   11.769470	  6.00	  147.163790	   11.769470	  6.00
 0.1	0.01	  144.667860	    8.136072	  6.00	  144.667840	    8.136080	  6.00
 0.0	0.00	  246.722850	   11.652030	  6.00	  246.722850	   11.652030	  6.00
 0.0	0.00	  144.319960	    8.630649	  6.00	  144.319960	    8.630640	  6.00
 0.0	0.00	  212.072580	   12.468108	  6.00	  212.072580	   12.468110	  6.00
 0.0	0.00	  231.053530	   11.693884	  6.00	  231.053530	   11.693884	  6.00
 0.0	0.00	  242.693170	    9.541310	  6.00	  242.693170	    9.541310	  6.00
 0.0	0.00	  176.516880	   11.581309	  6.00	  176.516880	   11.581310	  6.00
 0.1	0.01	  176.373360	   10.201638	  6.00	  176.373380	   10.201640	  6.00
 0.0	0.00	  160.501540	   12.334928	  6.00	  160.501540	   12.334930	  6.00
 0.0	0.00	  216.749070	    8.683622	  6.00	  216.749070	    8.683622	  6.00
 0.0	0.00	  173.660880	   15.621641	  6.00	  173.660880	   15.621640	  6.00
 0.0	0.00	  237.873220	   11.872712	  6.00	  237.873220	   11.872712	  6.00
 0.1	0.01	  176.525750	   10.871170	  6.00	  176.525740	   10.871190	  6.00
 0.0	0.00	  206.670890	    6.654318	  6.00	  206.670890	    6.654318	  6.00
 0.0	0.00	  210.943430	   14.868105	  6.00	  210.943430	   14.868105	  6.00
 0.0	0.00	  233.920130	   15.549004	  6.00	  233.920130	   15.549004	  6.00
