ra,dec
209.23158,5.15188
214.68087,13.58592
234.59208,12.96083
161.86432,13.88975
155.86138,12.81553
234.83978,13.692195
152.37289,9.17608
160.27121,6.41489
153.28737,13.42206
195.67409,5.95837
120.91963,15.657498
177.70626,7.07467
169.10055,5.73132
120.36156,15.7499
205.98453,6.7037771
233.0035,8.63317
125.9012,4.24726
170.03044,7.33573
162.24908,10.83542
153.1126,12.34375
163.37989,7.46189
213.42883,13.98712
243.5451,9.9034532
233.1869,6.5108285
209.58117,6.256827
233.38123,11.745794
147.0033,9.97096
209.1109,4.39667
174.51742,13.2
202.98724,13.51711
159.0533,13.44954
119.8368558,7.73347109
147.67651,8.73156
120.72783,14.42528
151.8883,13.10656
139.06204,6.34125
146.83312,12.3965
144.31996,8.63064
121.66394,7.9090284
176.01727,5.23411
235.06595,14.80835
217.20221,6.71542
131.73931,12.884131
175.23951,13.14508
119.84559,9.6183171
135.9873046,14.57767066
143.35986,10.01143
120.48587,8.1259414
209.23054,13.40895
135.94646,5.80668
147.40433,9.49508
197.27696,5.24311
134.1144,15.392121
144.37492,9.55217
211.88294,15.867494
235.23983,10.446755
214.65674,13.70965
226.05571,10.91211
146.91096,7.01803
146.55592,8.93492
176.75065,7.3242
169.33818,15.954064
220.32993,7.7929957
226.43537,11.20836
148.87375,8.3906322
213.1691104,14.51579989
139.31222,4.13369
180.39161,4.46649
150.01642,4.81252
162.89667,4.58306
161.76151,13.56708
129.60136,14.055668
199.21796,12.54822
218.8805521,15.53917946
155.76933,11.12203
243.82094,13.025855
134.60424,6.33504
175.56517,10.22292
239.9311473,14.11768934
137.34426,12.008668
209.68058,6.5009595
241.29424,14.943457
127.7144,12.501063
127.84017,7.00003
239.10421,15.755653
164.57482,4.66073
144.84302,4.95239
243.63606,10.346002
121.64327,12.666973
212.76383,10.55644
131.55191,7.26706
219.08931,15.250019
152.92965,5.05378
122.05746,6.80844
235.32207,10.422056
159.46912,13.721
150.07131,4.88876
135.94376,12.734658
213.32233,15.492186
154.32321,12.66417
140.02094,4.48047
120.19591,8.6389002
120.64033,9.389835
239.30992,13.508837
159.19129,4.08075
144.25851,9.10269
216.79452,5.13717
139.73135,13.820147
243.6722,10.855259
167.17687,14.92512
211.15633,13.21428
146.97704,9.51272
234.73886,12.54917
218.66333,4.26278
153.8292781,12.99158515
168.65415,12.81767
143.0855,10.09983
232.91279,15.59247
210.67091,8.2497914
151.24529,5.36467
177.30096,12.63158
176.53733,12.87961
119.55183,11.0206
172.46263,11.97025
150.54328,11.64347
210.56355,8.0063942
146.4169,7.01262
219.17059,11.57688
242.87326,10.019388
140.41588,9.15877
144.99904,10.45728
120.91355,8.910003
168.4800262,4.10522661
119.77194,12.419795
241.50911,8.50676
137.045,5.92778
152.64392,5.23291
198.25105,12.61359
220.87511,7.7868
237.87322,11.872712
122.64146,7.02719
209.58612,6.5091102
218.2201,5.99906
172.75645,14.56699
177.07455,12.72588
159.2365,13.93422
148.84783,5.31483
176.18117,11.20731
146.33914,14.57994
120.49197,9.3900606
150.06083,9.61736
151.46367,5.00622
241.54272,12.820294
140.24842,11.05922
131.82458,10.042658
210.65184,9.9412891
143.03233,10.23706
167.60511,10.12532
239.97923,7.98786
212.19908,13.01872
164.89847,14.7355
148.90265,6.81964
193.95396,4.30411
162.03558,14.85458
228.96632,8.0480884
143.20048,12.279373
166.38347,12.36202
120.75963,15.31803
240.41795,13.57773
121.75333,6.19892
144.58905,9.89546
149.35175,15.117109
166.72587,7.78163
120.57557,15.451955
212.1025703,13.99842216
120.64384,9.6715713
232.54054,9.68083
176.47403,9.89978
219.80183,9.13494
139.2321,14.713848
156.1553,11.90806
245.6433144,11.90506353
211.976999,5.01236153
237.7178925,11.21654513
148.90732,4.47675
197.44887,4.24988
211.7837131,12.36017375
152.41792,5.28598
144.03579,6.25706
144.35871,8.68928
177.7646,7.69372
138.33285,12.535272
236.8320833,14.09861111
133.9392406,15.67435266
210.13712,8.994931
120.12113,13.30844
119.98654,13.84253
147.3326,9.92047
239.56287,12.115776
131.0343262,10.93462119
120.94527,9.7117557
216.10135,8.27614
241.43572,8.84553
151.03634,6.51048
237.0173,4.2424313
137.33682,15.796496
237.77454,12.672028
212.40688,5.09627
232.73794,11.28536
150.96604,11.1
236.73321,13.458824
118.9277895,9.63107333
121.64085,7.7822763
145.2269426,15.07460955
147.62629,8.36003
236.40625,4.1825
158.07027,15.621745
153.20495,7.1038
234.54539,14.027207
209.61235,14.53104
211.5616322,13.01068792
120.54709,12.24354
218.38975,12.78369
208.36063,5.20776
150.71258,14.55324
147.08453,15.848564
207.92879,5.44652
220.8716,4.5315
137.31667,4.11315
243.44327,9.633552
120.72907,8.3960144
222.3693733,13.63101918
233.68935,8.15691
241.2073,14.877864
228.53228,6.9178859
177.05625,12.65533
140.44345,4.96432
231.04774,7.4882357
138.91308,13.5825
164.0375,6.17306
208.2459547,5.11861565
169.9386019,15.50224087
145.2767071,8.92169446
146.53203,6.77397
131.83185,5.89793
143.40742,8.46388
199.3719998,4.05970034
133.47392,13.569548
148.50252,8.77746
170.34762,6.66711
163.42789,9.72793
162.34049,12.9056
166.94601,15.05874
199.09976,12.52227
120.16531,8.461042
131.11953,9.34833
124.21917,5.64703
136.86735,15.426286
120.2466391,8.92617603
135.2616,11.553727
161.18885,7.99881
233.9241616,13.2177073
161.72495,13.77938
120.44874,9.6054554
210.2931387,5.72668293
141.16283,11.32914
176.2777998,9.50142313
143.9659578,9.53824224
241.40497,13.492116
162.94449,13.97654
176.66414,14.56042
231.93537,9.69912
145.75223,9.4745161
177.9550663,5.53141333
120.43635,15.58596
144.4562778,12.97138933
135.75027,5.80656
158.66162,7.03158
239.15351,6.19406
168.49708,11.32889
197.2180525,5.99697164
157.80544,4.47253
177.41708,12.39397
235.79782,15.41475
176.51326,14.6438
162.23696,12.19492
169.1095,4.3365
142.95167,10.40825
131.74031,13.431331
237.87921,4.1994936
237.36039,5.5712229
219.93525,5.35331
130.65243,10.553878
149.05292,15.61028
179.75311,4.66964
146.2455,8.36987
138.7168737,7.2464603
171.79556,8.7310275
120.41826,8.7892021
152.32237,5.40408
155.914,12.62378
237.8958762,8.03124951
118.4534915,10.14814846
131.89515,11.72542
176.23975,13.38749
208.4755527,9.50460709
176.60034,13.82745
145.71225,4.88992
170.71114,12.34489
119.8416918,14.16105821
147.90914,10.43971
120.51445,15.7107
232.18768,4.4057327
177.2498827,7.5328343
201.7559,10.05639
204.18262,8.54688
143.47317,9.20467
165.64058,7.13526
233.7829,12.337069
141.2945,11.533
161.12921,13.7112
242.5842914,10.14266823
214.83124,15.81067
181.01808,4.81308
176.18356,15.02778
157.92545,12.2824
144.66784,8.13608
235.7683958,11.74356606
151.70644,11.23583
129.17146,5.27333
171.53458,4.06236
129.39784,7.80863
179.28004,6.67542
158.12908,14.65058
239.80661,6.78758
146.77392,9.85161
162.32176,12.42176
143.25545,10.32928
162.57901,13.27186
142.58574,13.458285
234.04611,7.85696
208.76127,5.09034
138.95608,9.64736
150.1411006,12.02396816
176.99434,13.91068
156.67492,11.89722
146.88083,10.49211
227.6915411,7.18713507
219.25536,8.3179
147.915805,11.30186365
130.6076,6.59406
120.93293,10.149254
169.91108,11.44536
147.04539,14.553672
152.64133,12.59436
245.0015595,11.6967019
209.42058,15.37349
150.24404,11.75406
151.77715,12.8976
215.18555,8.62663
159.19012,13.59589
218.84708,9.50142
220.3091917,6.20158721
130.69346,10.556753
222.59431,11.40392
234.26493,6.0401738
157.92009,13.83493
148.24513,8.029
235.82468,13.79739
238.7054487,15.93742443
136.6271154,5.18635422
120.3258291,7.51175795
176.02909,13.34087
160.23567,12.47203
235.16721,15.389071
165.2164,13.881329
208.76879,5.18953
131.4753167,12.24218152
146.9847224,14.40368334
223.18132,11.67222
151.51595,10.63763
141.10077,11.98468
204.6277,8.4423219
145.23458,5.04461
166.56556,12.6658
130.50023,10.514728
241.8656279,10.14035732
143.49403,10.15787
146.03791,5.9368831
151.76867,5.00683
201.7090714,4.67582148
120.1253987,12.06350959
169.329563,11.44881091
120.37415,15.714392
144.6738575,8.10784441
146.42528,6.86991
157.16868,15.220495
153.4481388,6.89605387
157.90533,4.57279
146.3593653,5.20812534
157.23247,9.86318
176.3421,9.16214
143.38956,10.38732
131.1483939,9.70279668
143.09234,7.30229
173.00804,14.61078
216.6185329,13.02771875
222.88675,8.5999652
246.8841558,13.58417685
215.18144,4.14363
215.2440675,13.26599269
236.43319,12.51058
155.85975,12.59514
222.14342,5.43125
165.3451838,14.92543818
143.35353,10.16554
165.116,11.62086
143.7085,10.06704
167.09175,5.89061
142.06737,11.07706
164.39245,9.2148203
208.33258,5.77164
134.6830244,7.44218595
176.31742,13.87256
209.68087,14.26133
165.32061,6.07273
198.75162,6.871
147.7168891,10.17334548
161.29097,15.449847
209.34821,5.57367
137.10006,6.95153
204.01083,8.18472
158.22159,13.00881
146.15467,10.01288
231.9382568,12.96789272
217.21978,12.58168
197.8570588,15.530532
147.67979,9.95103
169.55651,4.69182
221.33812,7.86572
218.12633,8.13583
215.93194,5.87686
239.06014,6.09817
166.49829,7.37364
235.7145,9.1535383
147.65104,12.80908
159.09917,12.70739
162.50747,13.78477
120.5335285,9.64930795
171.27263,4.121
164.0813291,14.8663646
145.0552128,9.92448222
143.28001,10.17828
160.77271,13.51039
218.84494,5.27655
148.53042,9.35989
237.8971413,8.01464227
131.5481956,7.04961397
147.85512,9.05153
169.44109,7.63919
150.41544,14.992083
171.18542,15.27542
162.65783,15.76347
237.9922295,11.41698056
177.1960057,7.25735781
160.61046,13.95715
175.9490812,12.98087126
155.05812,6.80263
123.1882361,14.48028563
198.1247446,15.32104354
212.0933608,12.59336494
168.21604,10.20017
211.33462,10.414705
151.83112,10.36273
162.8681656,12.43944407
169.261115,10.14336418
235.27646,4.7528278
121.91155,10.980642
148.64879,4.38553
140.3631718,7.364599
144.19321,9.04443
209.3085,4.30731
150.50001,4.79093
142.98308,7.53619
235.48661,4.57987
237.4917523,5.51714029
233.4952209,12.06405482
128.0753567,7.19914047
209.08882,5.32896
172.10115,6.11785
126.62683,11.786083
160.4207,13.82488
173.45858,14.8245
143.03672,8.46966
230.1858236,7.24503971
170.59752,11.79392
135.394473,11.33201542
221.60125,14.2125
151.0006605,15.24992746
196.0450422,5.48698743
168.21959,7.92191
151.9293031,12.37020996
154.29929,4.33078
177.77008,5.24621
206.67089,6.6543177
223.22616,13.300253
139.84429,14.082446
162.28154,6.91728
218.0345121,8.16916741
133.14066,13.841221
130.63595,14.288252
230.24781,12.181495
233.25172,15.519122
163.24637,7.6202164
145.08804,4.73508
142.466,11.92661
